id,code,name,parent_id/id,active,reconcile,user_type/id,type,child_consol_ids/id,note
account.account_account_503,503,Actions,account.account_account_50,True,False,account.data_account_type_view,View,,
account.account_account_503100,503100,Titres cotés,account.account_account_503,True,False,account.data_account_type_cash,Regular,,
account.account_account_503500,503500,Titres non cotés,account.account_account_503,True,False,account.data_account_type_cash,Regular,,
account.account_account_504000,504000,Autres titres conférant un droit de propriété,account.account_account_50,True,False,account.data_account_type_cash,Regular,,
account.account_account_505000,505000,Obligations et bons émis par la société et rachetés par elle,account.account_account_50,True,False,account.data_account_type_cash,Regular,,
account.account_account_506,506,Obligations,account.account_account_50,True,False,account.data_account_type_view,View,,
account.account_account_506100,506100,Titres cotés,account.account_account_506,True,False,account.data_account_type_cash,Regular,,
account.account_account_506500,506500,Titres non cotés,account.account_account_506,True,False,account.data_account_type_cash,Regular,,
account.account_account_507000,507000,Bons du Trésor et bons de caisse à court terme,account.account_account_50,True,False,account.data_account_type_cash,Regular,,
account.account_account_508,508,Autres valeurs mobilières de placement et autres créances assimilées,account.account_account_50,True,False,account.data_account_type_view,View,,
account.account_account_508100,508100,Autres valeurs mobilières,account.account_account_508,True,False,account.data_account_type_cash,Regular,,
account.account_account_508200,508200,Bons de souscription,account.account_account_508,True,False,account.data_account_type_cash,Regular,,
account.account_account_508800,508800,"Intérêts courus sur obligations, bons et valeurs assimilées",account.account_account_508,True,False,account.data_account_type_cash,Regular,,
account.account_account_509000,509000,Versements restant à effectuer sur valeurs mobilières de placement non libérées,account.account_account_50,True,False,account.data_account_type_cash,Regular,,
account.account_account_51,51,Banques établissements financiers et assimilés,account.account_account_Classe_5,True,False,account.data_account_type_view,View,,
account.account_account_511,511,Valeurs à l'encaissement,account.account_account_51,True,False,account.data_account_type_view,View,,
account.account_account_511100,511100,Coupons échus à l'encaissement,account.account_account_511,True,False,account.data_account_type_cash,Regular,,
account.account_account_511200,511200,Chèques à encaisser,account.account_account_511,True,False,account.data_account_type_cash,Regular,,
account.account_account_511300,511300,Effets à l'encaissement,account.account_account_511,True,False,account.data_account_type_cash,Regular,,
account.account_account_511400,511400,Effets à l'escompte,account.account_account_511,True,False,account.data_account_type_cash,Regular,,
account.account_account_512,512,Banques,account.account_account_51,True,False,account.data_account_type_view,View,,Créer 1 compte par compte bancaire
account.account_account_512000,512000,Banque BNP,account.account_account_512,True,False,account.data_account_type_view,View,,
account.account_account_5121,5121,Comptes en monnaie nationale,account.account_account_512,True,False,account.data_account_type_view,View,,
account.account_account_512101,512101,Liquidités,account.account_account_5121,True,False,account.data_account_type_cash,Liquidity,,
account.account_account_512102,512102,CAISSE D'EPARGNE DEPOT CARTE BLEUE,account.account_account_5121,True,False,account.data_account_type_bank,Liquidity,,
account.account_account_512103,512103,CAISSE D'EPARGNE CCP,account.account_account_5121,True,False,account.data_account_type_bank,Liquidity,,
